Column|Format|QuestionText|dtcode
q138_6|CURRENCY|(AFRICA) Other - Non-listed debt products|14_56
q13ROW8_hidden|CURRENCY|(AFRICA) Other TOTAL|14_57
q13COL1_hidden|CURRENCY|(AFRICA) Non-listed/ commingled real estate funds/private REITs TOTAL|14_58
q13COL2_hidden|CURRENCY|(AFRICA) Separate accounts investing directly into real estate TOTAL|14_59
q13COL3_hidden|CURRENCY|(AFRICA) Separate accounts investing into indirect vehicles TOTAL|14_60
q13COL4_hidden|CURRENCY|(AFRICA) Joint ventures and club deals TOTAL|14_61
q13COL5_hidden|CURRENCY|(AFRICA) Funds of funds TOTAL|14_62
q13COL6_hidden|CURRENCY|(AFRICA) Non-listed debt products TOTAL|14_63
q13GRANDTotal_hidden|CURRENCY|(AFRICA) Total capital  raised in 2015 from African strategy|14_64
q14|SINGLE|How do you expect capital raising activities to develop over the next two years?|15
q15|SINGLE|What impact do you expect regulation to have on capital raising activities over the next two years?|16
q16|SINGLE|Would you like the name of your company to be included in the list of participants?|17
UserAgent||IGNORE|
