Column|Format|QuestionText|dtcode|answer_Label|answer_label_condensed|qn_breakdown_label|section|Topic|sub_topic|Question|comment|column_order
q3COL2_Total|CURRENCY|TOTAL - Separate accounts investing directly into real estate|6_44|RegionalStrategy_SeparateAccountsDirect_Total|RS_SepAccDirect_Total|Regional strategy - Separate accounts investing directly total||Capital raised |Regional Strategy and Vehicle Type|q6||85
q3COL3_Total|CURRENCY|TOTAL - Separate accounts investing into indirect vehicles|6_45|RegionalStrategy_SeparateAccountsIndirect_Total|RS_SepAccIndirect_Total|Regional strategy - Separate accounts investing indirectly total||Capital raised |Regional Strategy and Vehicle Type|q6||86
q3COL4_Total|CURRENCY|TOTAL - Joint ventures and club deals|6_46|RegionalStrategy_JVs_Total|RS_JVs_Total|Regional strategy - Joint ventures and club deals total||Capital raised |Regional Strategy and Vehicle Type|q6||87
q3COL5_Total|CURRENCY|TOTAL - Funds of funds|6_47|RegionalStrategy_FundsOfFunds_Total|RS_FOF_Total|Regional strategy - Funds of funds total||Capital raised |Regional Strategy and Vehicle Type|q6||88
q3COL6_Total|CURRENCY|TOTAL - Non-listed debt products|6_48|RegionalStrategy_Debt_Total|RS_Debt_Total|Regional strategy - Non-listed debt total||Capital raised |Regional Strategy and Vehicle Type|q6||89
q3GRANDTotal|CURRENCY|TOTAL Capital Raised in 2021 for non-listed real estate|6_49|RegionalStrategy_VehicleType_Total|RS_VT_Total|Regional strategy - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q6||90
||How much institutional capital did your company raise for non-listed vehicles in 2021 by regional strategy (million)?|7|||||||q7||91
q41_1|NUMBER|Asia Pacific - Non-listed/ commingled real estate funds/private REITs|7_1|NOV_RegionalStrategyAsiaPacific_NonListedFunds|NOV_RSAPAC_NLF|Asia Pacific - Non-listed funds||NOV Capital raised|Regional Strategy and Vehicle Type|q7||92
q41_2|NUMBER|Asia Pacific - Separate accounts investing directly into real estate|7_2|NOV_RegionalStrategyAsiaPacific_SeparateAccountsDirect|NOV_RSAPAC_SepAccDirect|Asia Pacific - Separate accounts investing directly||NOV Capital raised|Regional Strategy and Vehicle Type|q7||93
q41_3|NUMBER|Asia Pacific - Separate accounts investing into indirect vehicles|7_3|NOV_RegionalStrategyAsiaPacific_SeparateAccountsIndirect|NOV_RSAPAC_SepAccIndirect|Asia Pacific - Separate accounts investing indirectly||NOV Capital raised|Regional Strategy and Vehicle Type|q7||94
q41_4|NUMBER|Asia Pacific - Joint ventures and club deals|7_4|NOV_RegionalStrategyAsiaPacific_JVs|NOV_RSAPAC_JVs|Asia Pacific - Joint ventures and club deals||NOV Capital raised|Regional Strategy and Vehicle Type|q7||95
q41_5|NUMBER|Asia Pacific - Funds of funds|7_5|NOV_RegionalStrategyAsiaPacific_FundsOfFunds|NOV_RSAPAC_FOF|Asia Pacific - Funds of funds||NOV Capital raised|Regional Strategy and Vehicle Type|q7||96
q41_6|NUMBER|Asia Pacific - Non-listed debt products|7_6|NOV_RegionalStrategyAsiaPacific_Debt|NOV_RSAPAC_Debt|Asia Pacific - Non-listed debt||NOV Capital raised|Regional Strategy and Vehicle Type|q7||97
q4ROW1_Total|NUMBER|Asia Pacific - TOTAL VEHICLES|7_7|NOV_RegionalStrategyAsiaPacific_VehicleType_Total|NOV_RSAPAC_VT_Total|Asia Pacific - Vehicle type total||NOV Capital raised|Regional Strategy and Vehicle Type|q7||98
q42_1|NUMBER|Europe - Non-listed/ commingled real estate funds/private REITs|7_8|NOV_RegionalStrategyEurope_NonListedFunds|NOV_RSEUR_NLF|Europe - Non-listed funds||NOV Capital raised|Regional Strategy and Vehicle Type|q7||99
q42_2|NUMBER|Europe - Separate accounts investing directly into real estate|7_9|NOV_RegionalStrategyEurope_SeparateAccountsDirect|NOV_RSEUR_SepAccDirect|Europe - Separate accounts investing directly||NOV Capital raised|Regional Strategy and Vehicle Type|q7||100
q42_3|NUMBER|Europe - Separate accounts investing into indirect vehicles|7_10|NOV_RegionalStrategyEurope_SeparateAccountsIndirect|NOV_RSEUR_SepAccIndirect|Europe - Separate accounts investing indirectly||NOV Capital raised|Regional Strategy and Vehicle Type|q7||101
q42_4|NUMBER|Europe - Joint ventures and club deals|7_11|NOV_RegionalStrategyEurope_JVs|NOV_RSEUR_JVs|Europe -  Joint ventures and club deals||NOV Capital raised|Regional Strategy and Vehicle Type|q7||102
q42_5|NUMBER|Europe - Funds of funds|7_12|NOV_RegionalStrategyEurope_FundsOfFunds|NOV_RSEUR_FOF|Europe - Funds of funds||NOV Capital raised|Regional Strategy and Vehicle Type|q7||103
q42_6|NUMBER|Europe - Non-listed debt products|7_13|NOV_RegionalStrategyEurope_Debt|NOV_RSEUR_Debt|Europe - Non-listed debt||NOV Capital raised|Regional Strategy and Vehicle Type|q7||104
q4ROW2_Total|NUMBER|Europe - TOTAL VEHICLES|7_14|NOV_RegionalStrategyEurope_VehicleType_Total|NOV_RSEUR_VT_Total|Europe - Vehicle type total||NOV Capital raised|Regional Strategy and Vehicle Type|q7||105
q43_1|NUMBER|North America - Non-listed/ commingled real estate funds/private REITs|7_15|NOV_RegionalStrategyNorthAmerica_NonListedFunds|NOV_RSNA_NLF|North America - Non-listed funds||NOV Capital raised|Regional Strategy and Vehicle Type|q7||106
q43_2|NUMBER|North America - Separate accounts investing directly into real estate|7_16|NOV_RegionalStrategyNorthAmerica_SeparateAccountsDirect|NOV_RSNA_SepAccDirect|North America - Separate accounts investing directly||NOV Capital raised|Regional Strategy and Vehicle Type|q7||107
